startNodeId,endNodeId,relationshipType,relationshipId,amount,unit,step_order,ingredientCategory,isMain
201000001,201000002,801000001,R_000001,300,g,,蛋白质,True
201000001,201000003,801000001,R_000002,15,g,,调料,False
201000001,201000004,801000001,R_000003,200,g,,蔬菜,False
201000001,201000005,801000001,R_000004,100,ml,,调料,False
201000001,201000006,801000001,R_000005,1,个,,蛋白质,False
201000001,201000007,801000001,R_000006,5,g,,淀粉类,False
201000001,201000008,801000001,R_000007,5,瓣,,蔬菜,False
201000001,201000009,801000001,R_000008,30,ml,,调料,False
201000001,201000010,801000001,R_000009,300,ml,,其他,False
201000001,201000011,801000003,R_000010,,,1.0,,
201000001,201000012,801000003,R_000011,,,2.0,,
201000001,201000013,801000003,R_000012,,,3.0,,
201000001,201000014,801000003,R_000013,,,4.0,,
201000001,201000015,801000003,R_000014,,,5.0,,
201000001,201000016,801000003,R_000015,,,6.0,,
201000001,201000017,801000003,R_000016,,,7.0,,
201000001,201000018,801000003,R_000017,,,8.0,,
201000001,201000019,801000003,R_000018,,,9.0,,
201000001,201000020,801000003,R_000019,,,10.0,,
201000001,201000021,801000003,R_000020,,,11.0,,
201000001,201000022,801000003,R_000021,,,12.0,,
201000001,730000000,801000004,R_000022,,,,,
201000001,640000000,801000005,R_000023,,,,,
201000023,201000024,801000001,R_000024,450,g,,蛋白质,True
201000023,201000025,801000001,R_000025,25,g,,蔬菜,False
201000023,201000026,801000001,R_000026,10,g,,蔬菜,False
201000023,201000027,801000001,R_000027,13,g,,蔬菜,False
201000023,201000028,801000001,R_000028,5,mL,,调料,False
201000023,201000029,801000001,R_000029,25,mL,,调料,False
201000023,201000030,801000001,R_000030,2,mL,,调料,False
201000023,201000031,801000001,R_000031,50,mL,,调料,False
201000023,201000032,801000003,R_000032,,,1.0,,
201000023,201000033,801000003,R_000033,,,2.0,,
201000023,201000034,801000003,R_000034,,,3.0,,
201000023,201000035,801000003,R_000035,,,4.0,,
201000023,201000036,801000003,R_000036,,,5.0,,
201000023,201000037,801000003,R_000037,,,6.0,,
201000023,201000038,801000003,R_000038,,,7.0,,
201000023,201000039,801000003,R_000039,,,8.0,,
201000023,730000000,801000004,R_000040,,,,,
201000023,630000000,801000005,R_000041,,,,,
201000040,201000041,801000001,R_000042,500,g,,蛋白质,True
201000040,201000042,801000001,R_000043,300-500,g,,蔬菜,True
